Site,Exposure,date,year,time,depth,transect,Family,Functional Group,species,length,number,a,b,Biomass,Total Biomass(kg)
Coconut,Exposed,9/26/11,2011,8:09,deep,3,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
Coconut,Exposed,1/10/15,2015,12:24,deep,1,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Coconut,Exposed,1/10/15,2015,12:24,deep,1,Acanthuridae,Grazer,aca.bloc,21,12,0.0251,3.032,256.2374615,3.074849537
Coconut,Exposed,1/10/15,2015,12:38,deep,2,Acanthuridae,Grazer,aca.bloc,18,2,0.0251,3.032,160.5683546,0.321136709
Coconut,Exposed,1/10/15,2015,12:38,deep,2,Acanthuridae,Grazer,aca.bloc,19,7,0.0251,3.032,189.1710348,1.324197244
Coconut,Exposed,1/10/15,2015,13:11,deep,3,Acanthuridae,Grazer,aca.bloc,14,3,0.0251,3.032,74.94349207,0.224830476
Coconut,Exposed,1/10/15,2015,13:11,deep,3,Acanthuridae,Grazer,aca.bloc,16,1,0.0251,3.032,112.3480422,0.112348042
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,22,1,0.0251,3.032,295.0524938,0.295052494
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,25,1,0.0251,3.032,434.7382249,0.434738225
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,27,1,0.0251,3.032,548.9953354,0.548995335
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Coconut,Exposed,9/26/11,2011,1030,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Coconut,Exposed,1/10/15,2015,14:32,shallow,1,Acanthuridae,Grazer,aca.bloc,16,8,0.0251,3.032,112.3480422,0.898784338
Coconut,Exposed,1/10/15,2015,14:43,shallow,2,Acanthuridae,Grazer,aca.bloc,16,4,0.0251,3.032,112.3480422,0.449392169
Granite,Sheltered,9/22/11,2011,14:55,shallow,2,Acanthuridae,Grazer,aca.bloc,18,1,0.0251,3.032,160.5683546,0.160568355
Granite,Sheltered,9/22/11,2011,14:55,shallow,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Granite,Sheltered,9/22/11,2011,14:55,shallow,2,Acanthuridae,Grazer,aca.bloc,29,1,0.0251,3.032,681.8117025,0.681811702
Granite,Sheltered,9/22/11,2011,14:55,shallow,2,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Granite,Sheltered,9/22/11,2011,14:55,shallow,2,Acanthuridae,Grazer,aca.bloc,32,1,0.0251,3.032,918.94275,0.91894275
Granite,Sheltered,9/22/11,2011,14:55,shallow,2,Acanthuridae,Grazer,aca.bloc,32,1,0.0251,3.032,918.94275,0.91894275
Granite,Sheltered,1/7/15,2015,15:03,shallow,2,Acanthuridae,Grazer,aca.bloc,19,3,0.0251,3.032,189.1710348,0.567513104
Granite,Sheltered,1/7/15,2015,15:27,shallow,3,Acanthuridae,Grazer,aca.bloc,15,5,0.0251,3.032,92.38094892,0.461904745
LTMP1,Exposed,1/13/15,2015,8:06,deep,1,Acanthuridae,Grazer,aca.bloc,15,11,0.0251,3.032,92.38094892,1.016190438
LTMP1,Exposed,1/13/15,2015,8:06,deep,1,Acanthuridae,Grazer,aca.bloc,16,17,0.0251,3.032,112.3480422,1.909916718
LTMP1,Exposed,1/13/15,2015,8:06,deep,1,Acanthuridae,Grazer,aca.bloc,17,4,0.0251,3.032,135.0189888,0.540075955
LTMP1,Exposed,1/13/15,2015,8:22,deep,2,Acanthuridae,Grazer,aca.bloc,16,1,0.0251,3.032,112.3480422,0.112348042
LTMP1,Exposed,1/13/15,2015,8:22,deep,2,Acanthuridae,Grazer,aca.bloc,17,25,0.0251,3.032,135.0189888,3.37547472
LTMP1,Exposed,1/13/15,2015,8:22,deep,2,Acanthuridae,Grazer,aca.bloc,18,5,0.0251,3.032,160.5683546,0.802841773
LTMP1,Exposed,1/13/15,2015,9:06,deep,3,Acanthuridae,Grazer,aca.bloc,16,8,0.0251,3.032,112.3480422,0.898784338
LTMP1,Exposed,1/13/15,2015,10:39,shallow,2,Acanthuridae,Grazer,aca.bloc,16,2,0.0251,3.032,112.3480422,0.224696084
LTMP1,Exposed,1/13/15,2015,10:39,shallow,2,Acanthuridae,Grazer,aca.bloc,18,22,0.0251,3.032,160.5683546,3.532503801
LTMP3,Exposed,1/11/15,2015,8:06,deep,1,Acanthuridae,Grazer,aca.bloc,24,12,0.0251,3.032,384.1264444,4.609517333
LTMP3,Exposed,1/11/15,2015,8:18,deep,2,Acanthuridae,Grazer,aca.bloc,17,4,0.0251,3.032,135.0189888,0.540075955
LTMP3,Exposed,1/11/15,2015,8:55,deep,3,Acanthuridae,Grazer,aca.bloc,17,1,0.0251,3.032,135.0189888,0.135018989
LTMP3,Exposed,1/11/15,2015,8:55,deep,3,Acanthuridae,Grazer,aca.bloc,18,1,0.0251,3.032,160.5683546,0.160568355
LTMP3,Exposed,1/11/15,2015,8:55,deep,3,Acanthuridae,Grazer,aca.bloc,25,7,0.0251,3.032,434.7382249,3.043167574
LTMP3,Exposed,1/11/15,2015,10:08,shallow,1,Acanthuridae,Grazer,aca.bloc,19,25,0.0251,3.032,189.1710348,4.729275871
LTMP3,Exposed,1/11/15,2015,10:23,shallow,2,Acanthuridae,Grazer,aca.bloc,13,2,0.0251,3.032,59.86182675,0.119723653
LTMP3,Exposed,1/11/15,2015,10:23,shallow,2,Acanthuridae,Grazer,aca.bloc,16,1,0.0251,3.032,112.3480422,0.112348042
LTMP3,Exposed,1/11/15,2015,10:23,shallow,2,Acanthuridae,Grazer,aca.bloc,19,35,0.0251,3.032,189.1710348,6.620986219
Monkey's Butt,Lagoon,1/9/15,2015,8:41,deep,1,Acanthuridae,Grazer,aca.bloc,25,7,0.0251,3.032,434.7382249,3.043167574
Monkey's Butt,Lagoon,1/9/15,2015,7:52,deep,3,Acanthuridae,Grazer,aca.bloc,14,1,0.0251,3.032,74.94349207,0.074943492
Monkey's Butt,Lagoon,1/9/15,2015,7:52,deep,3,Acanthuridae,Grazer,aca.bloc,15,1,0.0251,3.032,92.38094892,0.092380949
Monkey's Butt,Lagoon,1/9/15,2015,7:52,deep,3,Acanthuridae,Grazer,aca.bloc,16,2,0.0251,3.032,112.3480422,0.224696084
Monkey's Butt,Lagoon,9/28/11,2011,9:30,shallow,1,Acanthuridae,Grazer,aca.bloc,17,1,0.0251,3.032,135.0189888,0.135018989
Monkey's Butt,Lagoon,9/28/11,2011,9:30,shallow,1,Acanthuridae,Grazer,aca.bloc,17,1,0.0251,3.032,135.0189888,0.135018989
Monkey's Butt,Lagoon,1/9/15,2015,10:22,shallow,2,Acanthuridae,Grazer,aca.bloc,22,5,0.0251,3.032,295.0524938,1.475262469
Monkey's Butt,Lagoon,1/9/15,2015,10:22,shallow,2,Acanthuridae,Grazer,aca.bloc,23,2,0.0251,3.032,337.6233854,0.675246771
Monkey's Butt,Lagoon,1/9/15,2015,8:04,shallow,3,Acanthuridae,Grazer,aca.bloc,22,1,0.0251,3.032,295.0524938,0.295052494
North Reef,Sheltered,9/26/11,2011,1338,deep,2,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
North Reef,Sheltered,1/7/15,2015,8:53,deep,3,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
North Reef,Sheltered,1/7/15,2015,8:53,deep,3,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
North Reef,Sheltered,1/7/15,2015,8:53,deep,3,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
North Reef,Sheltered,1/7/15,2015,8:53,deep,3,Acanthuridae,Grazer,aca.bloc,27,1,0.0251,3.032,548.9953354,0.548995335
North Reef,Sheltered,1/7/15,2015,11:28,shallow,3,Acanthuridae,Grazer,aca.bloc,19,2,0.0251,3.032,189.1710348,0.37834207
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,21,1,0.0251,3.032,256.2374615,0.256237461
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,1,Acanthuridae,Grazer,aca.bloc,23,1,0.0251,3.032,337.6233854,0.337623385
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,1,Acanthuridae,Grazer,aca.bloc,25,1,0.0251,3.032,434.7382249,0.434738225
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,27,1,0.0251,3.032,548.9953354,0.548995335
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,3,Acanthuridae,Grazer,aca.bloc,27,1,0.0251,3.032,548.9953354,0.548995335
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,3,Acanthuridae,Grazer,aca.bloc,27,1,0.0251,3.032,548.9953354,0.548995335
Palfrey Lagoon,Lagoon,9/24/11,2011,7:45,deep,2,Acanthuridae,Grazer,aca.bloc,29,1,0.0251,3.032,681.8117025,0.681811702
Palfrey Lagoon,Lagoon,1/14/15,2015,8:37,deep,3,Acanthuridae,Grazer,aca.bloc,15,3,0.0251,3.032,92.38094892,0.277142847
Palfrey Lagoon,Lagoon,1/14/15,2015,8:37,deep,3,Acanthuridae,Grazer,aca.bloc,16,1,0.0251,3.032,112.3480422,0.112348042
Palfrey Lagoon,Lagoon,1/14/15,2015,10:35,shallow,3,Acanthuridae,Grazer,aca.bloc,18,1,0.0251,3.032,160.5683546,0.160568355
Pidgin Point,Exposed,9/26/11,2011,14:06,deep,3,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Pidgin Point,Exposed,9/26/11,2011,14:06,deep,3,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Pidgin Point,Exposed,9/26/11,2011,14:06,deep,3,Acanthuridae,Grazer,aca.bloc,23,1,0.0251,3.032,337.6233854,0.337623385
Pidgin Point,Exposed,9/26/11,2011,14:06,deep,3,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,1/11/15,2015,12:28,deep,1,Acanthuridae,Grazer,aca.bloc,18,1,0.0251,3.032,160.5683546,0.160568355
Pidgin Point,Exposed,9/27/11,2011,1627,shallow,3,Acanthuridae,Grazer,aca.bloc,23,1,0.0251,3.032,337.6233854,0.337623385
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Pidgin Point,Exposed,9/27/11,2011,1542,shallow,1,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
